cantonId;types.sport;types.spring;types.summer;types.autumn;types.christmas
AG;-;09.04.2022-24.04.2022;16.07.2022-07.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
AI1;25.02.2022-06.03.2022;09.04.2022-24.04.2022;02.07.2022-15.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
AI2;29.01.2022-06.02.2022;09.04.2022-24.04.2022;09.07.2022-15.08.2022;01.10.2022-23.10.2022;24.12.2022-08.01.2023
AR;-;09.04.2022-24.04.2022;09.07.2022-14.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
BE1;-;09.04.2022-24.04.2022;09.07.2022-14.08.2022;24.09.2022-16.10.2022;24.12.2022-08.01.2023
BE2;-;09.04.2022-24.04.2022;09.07.2022-21.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
BL;26.02.2022-13.03.2022;09.04.2022-24.04.2022;02.07.2022-14.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
BL2;26.02.2022-13.03.2022;09.04.2022-24.04.2022;09.07.2022-14.08.2022;01.10.2022-23.10.2022;24.12.2022-08.01.2023
BS;26.02.2022-13.03.2022;09.04.2022-24.04.2022;02.07.2022-14.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
FL;26.02.2022-06.03.2022;14.04.2022-01.05.2022;02.07.2022-16.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
FR1;26.02.2022-06.03.2022;15.04.2022-01.05.2022;09.07.2022-24.08.2022;15.10.2022-30.10.2022;24.12.2022-08.01.2023
FR2;26.02.2022-06.03.2022;15.04.2022-01.05.2022;02.07.2022-24.08.2022;15.10.2022-30.10.2022;24.12.2022-08.01.2023
GE;12.02.2022-20.02.2022;14.04.2022-24.04.2022;02.07.2022-21.08.2022;22.10.2022-30.10.2022;24.12.2022-08.01.2023
GL;29.01.2022-06.02.2022;07.04.2022-24.04.2022;02.07.2022-14.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
GR1;26.02.2022-06.03.2022;23.04.2022-08.05.2022;02.07.2022-14.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
GR3;26.02.2022-06.03.2022;30.04.2022-22.05.2022;09.07.2022-14.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
GR4;26.02.2022-06.03.2022;15.04.2022-24.04.2022;25.06.2022-21.08.2022;29.10.2022-06.11.2022;24.12.2022-08.01.2023
JU;19.02.2022-27.02.2022;09.04.2022-24.04.2022;02.07.2022-14.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
LU;19.02.2022-06.03.2022;15.04.2022-01.05.2022;09.07.2022-21.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
NE;26.02.2022-06.03.2022;09.04.2022-24.04.2022;02.07.2022-14.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
NW1;19.02.2022-06.03.2022;15.04.2022-01.05.2022;09.07.2022-28.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
NW2;19.02.2022-06.03.2022;15.04.2022-01.05.2022;09.07.2022-21.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
OW1;19.02.2022-06.03.2022;15.04.2022-01.05.2022;09.07.2022-21.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
OW2;24.02.2022-06.03.2022;15.04.2022-01.05.2022;02.07.2022-15.08.2022;08.10.2022-30.10.2022;24.12.2022-08.01.2023
SG;-;09.04.2022-24.04.2022;09.07.2022-14.08.2022;01.10.2022-23.10.2022;24.12.2022-08.01.2023
SH;29.01.2022-13.02.2022;15.04.2022-01.05.2022;09.07.2022-14.08.2022;01.10.2022-23.10.2022;24.12.2022-02.01.2023
SO;05.02.2022-20.02.2022;09.04.2022-24.04.2022;09.07.2022-15.08.2022;01.10.2022-23.10.2022;24.12.2022-08.01.2023
SZ;26.02.2022-06.03.2022;30.04.2022-15.05.2022;09.07.2022-14.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
TG;29.01.2022-06.02.2022;02.04.2022-18.04.2022;09.07.2022-14.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
TI;26.02.2022-06.03.2022;15.04.2022-24.04.2022;16.06.2022-28.08.2022;29.10.2022-06.11.2022;24.12.2022-08.01.2023
UR;19.02.2022-06.03.2022;30.04.2022-15.05.2022;02.07.2022-15.08.2022;01.10.2022-16.10.2022;24.12.2022-08.01.2023
VD;19.02.2022-27.02.2022;15.04.2022-01.05.2022;02.07.2022-21.08.2022;15.10.2022-30.10.2022;24.12.2022-08.01.2023
VS3;26.02.2022-13.03.2022;07.05.2022-15.05.2022;30.06.2022-15.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
VS1;05.03.2022-13.03.2022;30.04.2022-15.05.2022;29.06.2022-15.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023
VS2;26.02.2022-06.03.2022;15.04.2022-24.04.2022;25.06.2022-17.08.2022;13.10.2022-23.10.2022;24.12.2022-08.01.2023
ZG;05.02.2022-20.02.2022;15.04.2022-01.05.2022;09.07.2022-21.08.2022;08.10.2022-23.10.2022;22.12.2022-04.01.2023
ZH;-;15.04.2022-01.05.2022;16.07.2022-21.08.2022;08.10.2022-23.10.2022;24.12.2022-08.01.2023